brms_rider_id,birth,delivery_method,first_available_date,business_start_day,is_recom,insurance_type,gender,recommender_rider_account_id,rider_no,수행건수,실제수행기간,최다수행시각,최다수행시각.1,평일/주말선호,2순위평일/주말,최다수행요일,2순위수행요일,최다기상타입,주요수행service_type,주요수행allocated_type,주요수행method,최다수행전달거리,2순위수행전달거리,기본배달비_중간값,총배달비_중간값,last_working_day,not_working,첫운행이후,미운행기간,첫운행이후기간,outcome
C68B23073F3A898F65B4404381CA0CF1DCFF97F33D4E4ED8F152AEE0FB598D29,1990,CAR,2023.8.9,2023.9.12,1,CAR_ON_DEMAND,MAN,71634D4A6C870E73D6D91FC7348F95677729CACD4350F3CE24AABBEBBCD166B0,C68B23073F3A898F65B4404381CA0CF1DCFF97F33D4E4ED8F152AEE0FB598D29,2,1,11_13,NA,WEEKDAY,NA,TUE,NA,0,STACK,1,CAR,2000,NA,3750,3750,2023.9.12,31,31,40일 이하,40일 이하,1
C68DB342CA9E3BDEAF6ACD1544BA454AFEBAF37C5C6D12800AC5B40D3DD15C5E,1970,GENERAL_BICYCLES,2023.8.30,2023.10.10,1,ETC_ON_DEMAND,WOMAN,FE1E60158944DA49D3A5EEB4B261D3AB066D45880332F4319E2691C7121441FC,C68DB342CA9E3BDEAF6ACD1544BA454AFEBAF37C5C6D12800AC5B40D3DD15C5E,1,1,17_20,NA,WEEKDAY,NA,TUE,NA,0,SINGLE,1,GENERAL_BICYCLES,1000,NA,3500,3800,2023.10.10,3,3,10일 이하,10일 이하,0
C6933312E16DF28E5FD21BF4AFD592D56D027981635543FE8A1C0B612F0F12FA,1980,WALK,2023.8.18,2023.8.19,1,NOT_REQUIRED,WOMAN,F367C85BA18062BC4C927ECA2FD6B8C5393955CB9E26EE96269FACF942286879,C6933312E16DF28E5FD21BF4AFD592D56D027981635543FE8A1C0B612F0F12FA,56,7,17_20,13_17,WEEKDAY,WEEKEND,WED,THU,0,SINGLE,1,WALK,500,0.0,2900,3000,2023.9.26,17,55,20일 이하,60일 이하,0
C6995A8B6CE49CB5497BDFA2BD43174B779B8BA096652EC8166F7B16A79C10BC,1970,PAS_BICYCLES,2023.8.30,2023.9.4,0,ETC_ON_DEMAND,MAN,NA,C6995A8B6CE49CB5497BDFA2BD43174B779B8BA096652EC8166F7B16A79C10BC,56,7,20_26,09_11,WEEKDAY,WEEKEND,SUN,TUE,0,SINGLE,1,PAS_BICYCLES,1500,1000.0,3500,3600,2023.10.9,4,39,10일 이하,40일 이하,0
C6B850BE62686B1D3B4247296A1DE1F67B9896FA0B16BED5D9CED39CCA914E9A,1990,PAS_BICYCLES,2023.8.16,2023.8.17,0,ETC_ON_DEMAND,MAN,NA,C6B850BE62686B1D3B4247296A1DE1F67B9896FA0B16BED5D9CED39CCA914E9A,6,4,17_20,20_26,WEEKEND,WEEKDAY,SAT,THU,0,SINGLE,1,GENERAL_BICYCLES,500,1500.0,3000,3100,2023.10.11,2,57,10일 이하,60일 이하,0
C6BA0F0A0FE803CDCA347236DCDFCDC259481ED0D58A0678B1B4303501D13560,1980,BIKE,2023.8.12,2023.8.13,0,MOTOR_BIKE_ON_DEMAND,MAN,NA,C6BA0F0A0FE803CDCA347236DCDFCDC259481ED0D58A0678B1B4303501D13560,21,5,17_20,11_13,WEEKEND,WEEKDAY,TUE,SAT,0,SINGLE,1,BIKE,1500,2500.0,3580,5740,2023.8.21,53,61,60일 이하,61일 이상,1
C6BE1D9FDF6AD3E927800D1BCF6D59A119AEE1E5AE9D96430153C2860B4F7C68,1990,PAS_BICYCLES,2023.8.26,2023.8.27,0,ETC_ON_DEMAND,WOMAN,NA,C6BE1D9FDF6AD3E927800D1BCF6D59A119AEE1E5AE9D96430153C2860B4F7C68,4,2,13_17,NA,WEEKEND,NA,SUN,FRI,0,SINGLE,0,PAS_BICYCLES,3000,NA,3820,4180,2023.9.1,42,47,50일 이하,50일 이하,1
C6D830AFBFF3EE0485C47F23823AFCD96FD4460F2A93A2BB44C84C364666F93C,1990,PAS_BICYCLES,2023.8.10,2023.8.15,0,ETC_ON_DEMAND,WOMAN,NA,C6D830AFBFF3EE0485C47F23823AFCD96FD4460F2A93A2BB44C84C364666F93C,42,5,13_17,17_20,WEEKDAY,WEEKEND,TUE,SAT,0,STACK,1,PAS_BICYCLES,2500,2000.0,3470,3900,2023.10.7,6,59,10일 이하,60일 이하,0
C6D8BE7AC2C275FEBEC75C2429DB835E072BF21E300E4AA5F57007E79A8EF365,1970,THROTTLE_BICYCLES,2023.8.19,2023.8.27,0,ETC_ON_DEMAND,MAN,NA,C6D8BE7AC2C275FEBEC75C2429DB835E072BF21E300E4AA5F57007E79A8EF365,1,1,17_20,NA,WEEKEND,NA,SUN,NA,0,SINGLE,1,THROTTLE_BICYCLES,4000,NA,5580,7480,2023.9.10,33,47,40일 이하,50일 이하,1
C6DA0E669D666D3B5602F6635323A7812FCA31518D947EBA39889554CC45E148,1970,CAR,2023.8.10,2023.8.10,0,PERSONAL,WOMAN,NA,C6DA0E669D666D3B5602F6635323A7812FCA31518D947EBA39889554CC45E148,43,6,20_26,17_20,WEEKDAY,WEEKEND,TUE,WED,0,STACK,1,CAR,2500,1000.0,3500,4130,2023.10.11,2,64,10일 이하,61일 이상,0
