"shop_no","addr","floor","rgn1_nm","rgn2_nm","rgn3_nm","shop_category","latitude","longitude","PICK","건물용도명_2"
14277916,"서울특별시 서초구 양재동 215",11,"서울특별시","서초구","양재동","CAFE",37.46296727,127.0369353,1,NA
10670543,"서울특별시 서초구 서초동",-1,"서울특별시","서초구","서초동","BAEKBAN",37.4858206,127.0291535,1,NA
10715118,"서울특별시 서초구 서초동",0,"서울특별시","서초구","서초동","WESTERN",37.4936199,127.0285369,1,NA
10741542,"서울특별시 서초구 방배중앙로 169",1,"서울특별시","서초구","방배동","ASIAN",37.49407386,126.9859668,1,"공동주택"
10766522,"서울특별시 서초구 서초동",2,"서울특별시","서초구","서초동","JOKBAL",37.4930602,127.0147365,1,"업무시설"
14080955,"서울특별시 서초구 반포대로28길 77",1,"서울특별시","서초구","서초동","ZZIM_TANG",37.49190792,127.0123812,1,"일반음식점"
14095763,"서울특별시 서초구 사평대로45길 10-25",-1,"서울특별시","서초구","반포동","BAEKBAN",37.50662846,127.0139362,1,"일반상점"
14104750,"서울특별시 서초구 마방로2길 74",1,"서울특별시","서초구","양재동","JOKBAL",37.4702998,127.0393793,1,"업무시설"
14112982,"서울특별시 서초구 서초중앙로22길 25",1,"서울특별시","서초구","서초동","CAFE",37.49346335,127.0154086,1,"아파트"
14131517,"서울특별시 서초구 잠원로4길 41-3",-1,"서울특별시","서초구","잠원동","CAFE",37.51293323,127.0109363,1,"공동주택"
14161594,"서울특별시 서초구 남부순환로356길 92",1,"서울특별시","서초구","양재동","JOKBAL",37.48079857,127.0389068,1,"공동주택"
14163323,"서울특별시 서초구 방배중앙로 196",3,"서울특별시","서초구","방배동","WESTERN",37.49629582,126.985689,1,"일반음식점"
14187150,"서울특별시 서초구 양재천로31길 12",1,"서울특별시","서초구","양재동","ASIAN",37.480445,127.042867,1,NA
14222053,"서울특별시 서초구 사임당로8길 13",1,"서울특별시","서초구","서초동","CAFE",37.48790844,127.015631,1,"교육시설"
14240226,"서울특별시 서초구 서초동 1308-4",0,"서울특별시","서초구","서초동","SNACK",37.50162923,127.024852,1,"업무시설"
14251519,"서울특별시 서초구 서초동 1659-21",1,"서울특별시","서초구","서초동","CAFE",37.49251902,127.0162141,1,"업무시설"
10638575,"서울특별시 서초구 서초동 1659-17",-1,"서울특별시","서초구","서초동","BAEKBAN",37.49279677,127.0161308,1,"근린생활시설"
10647044,"서울특별시 서초구 반포동",0,"서울특별시","서초구","반포동","WESTERN",37.5037992,127.0211986,1,"근린생활시설"
10661711,"서울특별시 서초구 서초대로46길 19-15",1,"서울특별시","서초구","서초동","ZZIM_TANG",37.49182457,127.0108535,1,"일반음식점"
10738915,"서울특별시 서초구 잠원동 58-24",-1,"서울특별시","서초구","잠원동","ASIAN",37.50860041,127.0119363,1,"일반상점"
10766511,"서울 서초구 서초동 1597-1",1,"서울특별시","서초구","서초동","JAPANESE",37.48765799,127.0129444,1,NA
13007191,"서울특별시 서초구 잠원동 65-32",1,"서울특별시","서초구","잠원동","CAFE",37.5126545,127.0066838,1,"일반상점"
13091521,"서울특별시 서초구 서초동 1317-20",1,"서울특별시","서초구","서초동","CAFE",37.49793525,127.0264908,1,"문화시설"
13126631,"서울특별시 서초구 서초대로 21",2,"서울특별시","서초구","방배동","BAEKBAN",37.48601922,126.9848005,1,NA
13274876,"서울특별시 서초구 서초동 1623-3",-1,"서울특별시","서초구","서초동","BURGER",37.48712,127.0155814,1,"업무시설"
13280843,"서울특별시 서초구 서초동 1337-17",1,"서울특별시","서초구","서초동","BAEKBAN",37.49249148,127.0292685,1,"업무시설"
14219330,"서울특별시 서초구 서초중앙로 125",-1,"서울특별시","서초구","서초동","CHINESE",37.49299114,127.0134088,1,"NA"
14268688,"서울특별시 서초구 서초동 1542-1",-1,"서울특별시","서초구","서초동","JOKBAL",37.49157455,127.008326,1,"아파트"
14271880,"서울특별시 서초구 반포동 746-5",1,"서울특별시","서초구","반포동","CHICKEN",37.50410111,127.0217411,1,"업무시설"
14278314,"서울특별시 서초구 양재동 82-6",1,"서울특별시","서초구","양재동","CAFE",37.47952098,127.0410178,1,NA
10742521,"서울특별시 서초구 방배중앙로 188",1,"서울특별시","서초구","방배동","ZZIM_TANG",37.49565701,126.9858835,1,"일반음식점"
10788432,"서울특별시 서초구 방배동 441-1",1,"서울특별시","서초구","방배동","CAFE",37.48038094,126.982162,1,"근린생활시설"
10793113,"서울특별시 서초구 반포동",0,"서울특별시","서초구","반포동","MEAT",37.50560472,127.0218958,1,"공동주택"
10809619,"서울특별시 서초구 신반포로 지하 200",-1,"서울특별시","서초구","잠원동","ZZIM_TANG",37.50621168,127.0050481,1,"NA"
10826141,"서울특별시 서초구 서초동",0,"서울특별시","서초구","서초동","CAFE",37.4878103,127.0282904,1,NA
10849509,"서울특별시 서초구 서초동",1,"서울특별시","서초구","서초동","CAFE",37.4988282,127.0266661,1,NA
12026293,"서울특별시 서초구 방배동 444-16",3,"서울특별시","서초구","방배동","CAFE",37.47807565,126.982051,1,NA
12032263,"서울특별시 서초구 양재동 6-39",1,"서울특별시","서초구","양재동","MEAT",37.48124301,127.0413788,1,"근린생활시설"
