Latitude,Longitude,Address
37.49329668,127.0146031,서울특별시 서초구 서초동 1671-2
37.48643663,127.0294075,서울특별시 서초구 서초동 1359-35
37.49407386,126.9859668,서울특별시 서초구 방배동 768-18
37.49207455,127.0115201,서울특별시 서초구 서초동 1571-2
37.48271455,127.0131869,서울특별시 서초구 서초동 1451-63
37.48404781,127.0173532,서울특별시 서초구 서초동 1445-13
37.49035219,126.992633,서울특별시 서초구 방배동 837-12
37.49599101,127.025241,서울특별시 서초구 서초동 1321-6
37.49832404,127.0237688,서울특별시 서초구 서초동 1316
37.48313085,126.9952441,서울특별시 서초구 방배동 923-6
37.50271242,127.0238798,서울특별시 서초구 서초동 1303-16
37.49299114,127.0134088,서울특별시 서초구 서초동 1573-11
37.4872135,126.983495,서울특별시 서초구 방배동 1460-1
37.48040873,126.9831897,서울특별시 서초구 방배동 453-12
37.48654744,127.0128535,서울특별시 서초구 서초동 1593-7
37.495193,127.019841,서울특별시 서초구 서초동 1678-8
37.48121473,127.0131592,서울특별시 서초구 서초동 1451-81
37.4753271,127.0455453,서울특별시 서초구 양재동 279-6
37.50715364,127.0088926,서울특별시 서초구 반포동 20-19
37.48465875,127.0119647,서울특별시 서초구 서초동 1585-12
37.51851595,127.0129915,서울특별시 서초구 잠원동 53
37.50848944,127.0186023,서울특별시 서초구 반포동 717-3
37.48354749,126.9965773,서울특별시 서초구 방배동 907-9
37.49221345,127.0131866,서울특별시 서초구 서초동 1574-6
37.50554535,127.0194357,서울특별시 서초구 반포동 731-27
37.50868386,127.0188523,서울특별시 서초구 반포동 717-10
37.50604535,127.0226298,서울특별시 서초구 반포동 738-11
37.50207337,127.0105477,서울특별시 서초구 반포동 54-14
37.51096137,127.0184356,서울특별시 서초구 잠원동 42-7
37.48554759,127.0148256,서울특별시 서초구 서초동 1601-5
37.49443539,127.0120756,서울특별시 서초구 서초동 1713-1
37.49099087,126.9851337,서울특별시 서초구 방배동 788-59
37.4872699,127.0310185,서울특별시 서초구 서초동 1358-1
37.50610056,127.0036593,서울특별시 서초구 잠원동 75-19
