shop_no,addr,floor,rgn1_nm,rgn2_nm,rgn3_nm,shop_category,latitude,longitude,PICK
14111378,서울특별시 서초구 서초중앙로24길 55,1,서울특별시,서초구,서초동,JAPANESE,37.496102,127.0193804,1
14137326,서울특별시 서초구 사임당로 174,1,서울특별시,서초구,서초동,PIZZA,37.49229705,127.02862967,1
14137869,서울특별시 서초구 서초대로 283,1,서울특별시,서초구,서초동,BURGER,37.49365772,127.01268664,1
14156851,서울특별시 서초구 방배천로16길 4,2,서울특별시,서초구,방배동,ZZIM_TANG,37.48204742,126.98296745,1
14165707,서울특별시 서초구 서초대로64길 55,1,서울특별시,서초구,서초동,CAFE,37.49326903,127.02154695,1
14173950,서울특별시 서초구 논현로17길 19,1,서울특별시,서초구,양재동,PIZZA,37.47585481,127.0448231,1
14197653,서울특별시 서초구 서초대로 301,1,서울특별시,서초구,서초동,CAFE,37.49432434,127.01449201,1
14227872,서울특별시 서초구 방배동 983-11,1,서울특별시,서초구,방배동,CAFE,37.479972,126.999065,1
13390396,서울특별시 서초구 방배동 951-18,1,서울특별시,서초구,방배동,CHINESE,37.48549151,126.98552267,1
13403784,서울특별시 서초구 반포동 724-26,1,서울특별시,서초구,반포동,CHINESE,37.5078229,127.02174097,1
13469766,서울특별시 서초구 잠원동 9-5,1,서울특별시,서초구,잠원동,WESTERN,37.51740505,127.01746331,1
13483099,서울 서초구 서초동 1669-8,1,서울특별시,서초구,서초동,CHICKEN,37.49329672,127.01654741,1
13486352,서울특별시 서초구 반포동 743-17,0,서울특별시,서초구,반포동,BAEKBAN,37.50446215,127.01996345,1
13487446,서울특별시 서초구 양재동 19-11,1,서울특별시,서초구,양재동,CAFE,37.481243,127.04098997,1
13493002,서울특별시 서초구 방배천로 22,0,서울특별시,서초구,방배동,ZZIM_TANG,37.47838118,126.9828009,1
13495416,서울특별시 서초구 반포동 711-22,1,서울특별시,서초구,반포동,PIZZA,37.50885051,127.01868566,1
13500089,서울특별시 서초구 반포동 739-1,-1,서울특별시,서초구,반포동,PIZZA,37.50546207,127.02174103,1
13501101,서울특별시 강남구 테헤란로26길 14,-1,서울특별시,서초구,서초동,SNACK,37.495982497784595,127.02519806465574,1
13507944,서울특별시 서초구 서초동 1321-6,-1,서울특별시,서초구,서초동,JOKBAL,37.49599101,127.02524098,1
13509044,서울특별시 서초구 서초동 1678-2,-1,서울특별시,서초구,서초동,WESTERN,37.49521322,127.01965818,1
13510323,서울특별시 서초구 반포동 734-32,1,서울특별시,서초구,반포동,CAFE,37.50562871,127.02151883,1
