shop_loc_pnt_lat,shop_loc_pnt_lon
37.48168653,126.9928555
37.50504546,127.0222966
37.48163185,127.0411566
37.46954993,127.0416847
37.48968587,127.0077675
37.48713017,126.9831895
37.49238038,127.0286297
37.4872135,126.9837728
37.51037813,127.0197966
37.48313085,126.9952441
37.48713075,127.0155755
37.48607473,126.9826063
37.49188014,127.0122145
37.50587869,127.0221854
37.49399099,127.0116312
37.48876971,127.0302407
37.49176859,126.9869946
37.49157462,127.0122145
37.45646765,127.0162429
37.49313006,127.0159364
37.49510212,127.0194082
37.49199153,127.0288241
37.48724214,127.0319073
37.5100446,127.0070756
37.49437998,127.0198249
37.48943591,127.0082149
37.49518545,127.0198248
37.49346335,127.0154086
37.4872135,126.983495
37.49190792,127.0123812
37.4633283,127.0346022
37.48818608,127.0099093
37.49221345,127.0131866
37.47852107,127.0393513
37.50468435,127.0201856
37.51135025,127.0203243
37.51382215,127.0184633
37.49599101,127.025241
37.4962426,126.9845682
37.49537981,127.0164363
37.50482327,127.0226854
37.50007388,127.0261575
37.4931573,126.9862168
37.50751739,127.0221854
37.49313028,127.0282408
37.49538001,127.0277963
37.51379417,127.0072977
37.4879682,127.0102669
37.49040824,127.0207693
37.49349113,127.0161308
37.48907486,127.0093815
37.48226987,126.996744
37.500081,127.026173
37.50354541,127.0096866
37.5142665,127.0163246
37.485972,127.030423
37.50657275,127.0052703
37.4932414,127.0293518
37.49018577,127.005604
37.49832404,127.0237688
37.48849168,127.01427
37.49835136,126.9984934
37.48374261,127.035546
37.50207337,127.0105477
37.47627143,127.0449342
37.50340675,127.0219911
37.48568657,127.0207417
37.50373983,127.0098255
37.48888049,127.0126034
37.49101862,126.9838838
37.48629712,126.9937441
37.495193,127.019841
37.482174,126.996404
37.49468496,126.9895498
37.48682537,127.0236303
37.5112743,127.0193186
37.49157455,127.008326
37.4918526,127.0252411
37.51282225,127.0176579
37.49018622,127.0306295
37.4978792,126.9988544
37.49226899,127.0127145
37.48860305,127.0295741
37.47363282,127.043851
37.48040875,126.984384
37.49654629,127.0138809
