"Latitude","Longitude","Address","건물용도명","지상층수_max","지하층수_min","주용도코드명","건물용도명_2"
37.51764251,127.0183615,"서울특별시 서초구 잠원동 8-27","아파트",7,2,NA,"아파트"
37.5012325,127.0458361,"서울특별시 강남구 역삼동 902",NA,NA,NA,"공동주택","공동주택"
37.49310218,127.0101313,"서울특별시 서초구 서초동 1717-3",NA,NA,NA,NA,NA
37.51234756,127.007507,"서울특별시 서초구 잠원동 65-32","아파트",10,1,NA,"아파트"
37.49137986,126.9934107,"서울특별시 서초구 방배동 838-29",NA,NA,NA,NA,NA
37.50768418,127.030268,"서울특별시 강남구 논현동 189-22",NA,NA,NA,NA,NA
37.48835302,127.0259911,"서울특별시 서초구 서초동 1757",NA,NA,NA,"공동주택","공동주택"
37.49259786,127.0153196,"서울특별시 서초구 서초동 1658-19",NA,NA,NA,NA,NA
37.51929384,127.0241849,"서울특별시 강남구 신사동 540-8","공동주택",4,1,NA,"공동주택"
37.48765857,127.0212138,"서울특별시 서초구 서초동 1617-19",NA,NA,NA,NA,NA
37.49199154,127.0288519,"서울특별시 서초구 서초동 1337-2","업무시설",20,7,NA,"업무시설"
37.48302012,127.0159922,"서울특별시 서초구 서초동 1446-11","아파트",46,3,NA,"아파트"
37.51215589,127.0303234,"서울특별시 강남구 논현동 131-10","업무시설",4,2,NA,"업무시설"
37.51487814,127.0495716,"서울특별시 강남구 삼성동 25-19","공동주택",4,0,NA,"공동주택"
37.49543576,127.0388509,"서울특별시 강남구 역삼동 790-6","업무시설",5,1,NA,"업무시설"
37.4942133,127.0174917,"서울특별시 서초구 서초동 1675-11","아파트",15,3,NA,"아파트"
37.47963092,126.9763015,"서울특별시 동작구 사당동 419-30","공동주택",3,1,NA,"공동주택"
37.48571417,127.011437,"서울특별시 서초구 서초동 1583-10","아파트",25,0,"공동주택","아파트"
37.45707872,127.0178539,"서울특별시 서초구 우면동 773",NA,NA,NA,"공동주택","공동주택"
37.49004738,127.0321572,"서울특별시 강남구 역삼동 838-1",NA,NA,NA,NA,NA
37.50543475,127.0470721,"서울특별시 강남구 역삼동 696-4","업무시설",6,1,NA,"업무시설"
37.48399232,127.0206584,"서울특별시 서초구 서초동 1428-4",NA,NA,NA,NA,NA
37.48240892,127.0068264,"서울특별시 서초구 서초동 1487-48","공동주택",5,0,NA,"공동주택"
37.48110306,126.9812732,"서울특별시 동작구 사당동 1019-23","업무시설",5,0,NA,"업무시설"
37.49893515,127.0276018,"서울특별시 강남구 역삼동 820-9","의료시설",18,5,NA,"의료시설"
37.49610894,127.026759,"서울특별시 서초구 서초동 1320-10","업무시설",44,8,NA,"업무시설"
37.5194883,127.0266291,"서울특별시 강남구 신사동 563-17",NA,NA,NA,NA,NA
37.48504761,127.0126036,"서울특별시 서초구 서초동 1589-3",NA,NA,NA,NA,NA
