dlvry_loc_pnt_lat,dlvry_loc_pnt_lon
37.48563052,126.9929942
37.50285131,127.0245742
37.47093878,127.0488784
37.47863212,127.0370737
37.4830588,127.0155764
37.50415629,127.0010485
37.48901949,127.0192973
37.51407194,127.0084365
37.49649892,127.0293341
37.4585186,127.0185743
37.48471415,127.0035211
37.48107525,126.9791623
37.4893828,127.0255489
37.51187808,127.027157
37.48954723,127.020936
37.4900648,127.0057658
37.48079734,126.9701909
37.502572,126.9948067
37.48139266,127.0106373
37.45646765,127.0159096
37.49154716,127.0299629
37.50068471,127.0141308
37.4865203,127.0486002
37.48357594,127.0342127
37.51454408,127.0070754
37.52173803,127.0261291
37.48857452,126.9872447
37.48238128,127.0145201
37.49399116,127.0208803
37.48668553,126.9694408
37.4867137,126.9923642
37.47940925,127.0058821
37.45652163,127.016826
37.47679834,127.0001049
37.4917132,126.9959104
37.5007132,127.0141366
37.47718535,127.0440509
37.509272,127.010328
37.51826628,127.0296844
37.48143614,126.9693576
37.5135791,127.0310271
37.49429704,127.040823
37.48980011,126.9865131
37.5024581,127.0175638
37.51979371,127.020463
37.48565866,127.0132424
37.49386325,126.9853381
37.51865511,127.0289067
37.49293591,127.0309072
37.49218599,127.030935
37.51704398,127.0174633
37.49632385,127.000271
37.47563258,127.0430177
37.50671203,127.0277127
37.50407342,127.026324
37.48336103,126.9836339
37.50596224,127.0348509
37.49343519,126.9943828
37.50951745,127.0384894
37.50240624,126.9959816
37.50555895,127.0261245
37.50646185,127.0162415
37.50071243,127.0111588
37.51379449,127.0247683
37.48090908,127.0060487
37.50060123,127.0053538
37.494915,127.0344196
37.50712894,127.0442945
37.50062915,127.013853
37.49785243,127.054766
37.49132492,127.0274631
37.48529797,127.0343793
37.4900973,127.0064506
37.4953178,126.9942468
37.51164353,127.033202
37.48446373,126.97869
37.5014524,127.0252295
37.48027003,126.9928277
37.48704783,126.9854614
37.47957563,126.9906613
37.52326556,127.0223238
37.49565807,127.0452392
37.5157456,127.0108197
37.48404781,127.0173532
37.48765881,127.0346293
37.49691142,127.0349066
37.51732172,127.01713
37.49907616,127.0349777
37.50218506,127.0437114
37.4943871,127.0416949
37.48594462,127.0031421
37.5026056,127.0093726
37.49471325,127.0182694
37.47057767,127.0463231
37.47929781,126.986745
37.49346335,127.0154086
37.49568549,127.0255465
37.50290655,127.0073535
37.48726955,127.0116591
37.48110294,126.9744405
37.48524242,127.0344071
37.5005658,126.9968119
37.50168433,126.9995487
37.5097395,127.030129
37.5069289,127.011629
37.49221374,127.0290463
